;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
1646;6.4;0.22;0.49;7.5;0.054;42.0;151.0;0.9948;3.27;0.52;10.1;6
233;7.2;0.23;0.38;14.3;0.058;55.0;194.0;0.9979;3.09;0.44;9.0;6
1214;9.7;0.24;0.45;1.2;0.033;11.0;59.0;0.9926;2.74;0.47;10.8;6
615;7.5;0.23;0.68;11.0;0.047;37.0;133.0;0.9978;2.99;0.38;8.8;5
3054;5.8;0.15;0.31;5.9;0.036;7.0;73.0;0.99152;3.2;0.43;11.9;6
4100;6.3;0.29;0.23;14.2;0.037;24.0;99.0;0.99528;3.08;0.38;10.6;6
2112;6.5;0.22;0.25;17.1;0.05;44.0;138.0;1.0001;3.3;0.37;8.8;5
3376;6.6;0.18;0.28;1.7;0.041;53.0;161.0;0.99207;3.13;0.45;10.2;6
1782;8.5;0.21;0.26;9.25;0.034;73.0;142.0;0.9945;3.05;0.37;11.4;6
2063;7.6;0.18;0.36;2.4;0.049;38.0;123.0;0.996;3.6;0.46;10.3;5
1408;7.3;0.25;0.36;13.1;0.05;35.0;200.0;0.9986;3.04;0.46;8.9;7
3448;6.7;0.47;0.29;4.75;0.034;29.0;134.0;0.99056;3.29;0.46;13.0;7
775;6.4;0.225;0.48;2.2;0.115;29.0;104.0;0.9918;3.24;0.58;12.1;6
454;6.4;0.28;0.29;1.6;0.052;34.0;127.0;0.9929;3.48;0.56;10.5;7
2807;7.5;0.18;0.72;9.6;0.039;53.0;151.0;0.99802;3.03;0.46;8.9;5
481;5.9;0.36;0.41;1.3;0.047;45.0;104.0;0.9917;3.33;0.51;10.6;6
1900;10.0;0.23;0.27;14.1;0.033;45.0;166.0;0.9988;2.72;0.43;9.7;6
2951;7.2;0.2;0.22;1.6;0.044;17.0;101.0;0.99471;3.37;0.53;10.0;5
1274;8.4;0.35;0.56;13.8;0.048;55.0;190.0;0.9993;3.07;0.58;9.4;6
101;7.1;0.12;0.32;9.6;0.054;64.0;162.0;0.9962;3.4;0.41;9.4;5
3654;6.8;0.18;0.32;7.2;0.047;17.0;109.0;0.99498;3.42;0.44;10.4;6
1884;6.4;0.22;0.32;7.9;0.029;34.0;124.0;0.9948;3.4;0.39;10.2;5
4388;6.7;0.26;0.29;7.1;0.036;28.0;100.0;0.99534;3.08;0.36;9.3;6
936;6.4;0.43;0.32;1.4;0.048;10.0;67.0;0.992;3.08;0.41;11.4;5
1077;7.8;0.26;0.44;1.3;0.037;43.0;132.0;0.9944;3.18;0.65;10.0;5
819;6.6;0.56;0.22;8.9;0.034;27.0;133.0;0.99675;3.2;0.51;9.1;5
3558;5.7;0.22;0.22;16.65;0.044;39.0;110.0;0.99855;3.24;0.48;9.0;6
70;6.2;0.27;0.43;7.8;0.056;48.0;244.0;0.9956;3.1;0.51;9.0;6
4482;6.2;0.3;0.33;3.5;0.037;37.0;155.0;0.98987;3.18;0.37;12.4;6
3020;8.4;0.32;0.35;11.7;0.029;3.0;46.0;0.99439;3.02;0.34;11.8;6
4144;6.8;0.28;0.29;11.9;0.052;51.0;149.0;0.99544;3.02;0.58;10.4;6
2980;6.1;0.38;0.42;5.0;0.016;31.0;113.0;0.99007;3.15;0.31;12.4;7
1095;5.3;0.24;0.33;1.3;0.033;25.0;97.0;0.9906;3.59;0.38;11.0;8
53;6.4;0.18;0.35;1.0;0.045;39.0;108.0;0.9911;3.31;0.35;10.9;6
1370;7.6;0.28;0.39;1.9;0.052;23.0;116.0;0.9941;3.25;0.4;10.4;6
3350;7.2;0.22;0.28;7.2;0.06;41.0;132.0;0.9935;3.08;0.59;11.3;6
375;5.1;0.33;0.22;1.6;0.027;18.0;89.0;0.9893;3.51;0.38;12.5;7
4141;6.8;0.28;0.29;11.9;0.052;51.0;149.0;0.99544;3.02;0.58;10.4;6
3235;5.7;0.15;0.28;3.7;0.045;57.0;151.0;0.9913;3.22;0.27;11.2;6
1933;7.2;0.47;0.65;8.3;0.083;27.0;182.0;0.9964;3.0;0.35;9.2;5
461;7.0;0.25;0.29;15.2;0.047;40.0;171.0;0.9982;3.22;0.45;9.3;5
42;7.0;0.31;0.26;7.4;0.069;28.0;160.0;0.9954;3.13;0.46;9.8;6
762;6.8;0.24;0.49;19.3;0.057;55.0;247.0;1.00055;3.0;0.56;8.7;5
1864;7.1;0.25;0.3;2.4;0.042;25.0;122.0;0.994;3.43;0.61;10.5;6
1398;7.3;0.25;0.36;13.1;0.05;35.0;200.0;0.9986;3.04;0.46;8.9;7
2578;5.8;0.3;0.27;1.7;0.014;45.0;104.0;0.98914;3.4;0.56;12.6;7
2917;7.1;0.36;0.4;1.95;0.033;26.0;118.0;0.98934;3.2;0.45;13.5;7
3066;7.4;0.21;0.8;12.3;0.038;77.0;183.0;0.99778;2.95;0.48;9.0;5
2927;7.0;0.31;0.31;9.1;0.036;45.0;140.0;0.99216;2.98;0.31;12.0;7
867;7.8;0.18;0.46;12.6;0.042;41.0;143.0;1.0;3.24;0.76;8.5;8
1751;6.7;0.16;0.28;2.5;0.046;40.0;153.0;0.9921;3.38;0.51;11.4;7
331;6.8;0.24;0.34;4.6;0.032;37.0;135.0;0.9927;3.2;0.39;10.6;5
348;7.8;0.18;0.46;13.6;0.052;38.0;118.0;0.998;3.15;0.5;10.0;6
3331;6.8;0.23;0.32;8.6;0.046;47.0;159.0;0.99452;3.08;0.52;10.5;6
2303;6.9;0.44;0.18;11.8;0.051;26.0;126.0;0.9975;3.23;0.48;9.1;5
4219;7.0;0.44;0.24;12.1;0.056;68.0;210.0;0.99718;3.05;0.5;9.5;5
1482;6.7;0.16;0.49;2.4;0.046;57.0;187.0;0.9952;3.62;0.81;10.4;6
4076;7.4;0.37;0.26;9.6;0.05;33.0;134.0;0.99608;3.13;0.46;10.4;5
4038;6.4;0.29;0.57;1.0;0.06;15.0;120.0;0.9924;3.06;0.41;9.5;5
4091;6.4;0.14;0.28;7.9;0.057;21.0;82.0;0.99425;3.26;0.36;10.0;6
1325;7.7;0.32;0.48;2.3;0.04;28.0;114.0;0.9911;3.2;0.52;12.8;7
3483;6.1;0.36;0.26;8.15;0.035;14.0;88.0;0.99031;3.06;0.27;13.0;7
1327;6.8;0.26;0.33;1.5;0.047;44.0;167.0;0.9928;3.12;0.44;10.5;6
4623;6.6;0.4;0.3;5.3;0.038;20.0;125.0;0.99204;3.36;0.73;12.6;6
3626;7.0;0.29;0.33;0.9;0.041;20.0;117.0;0.99048;3.21;0.5;11.4;5
451;6.1;0.2;0.25;1.2;0.038;34.0;128.0;0.9921;3.24;0.44;10.1;5
2527;7.3;0.16;0.35;1.5;0.036;29.0;108.0;0.99342;3.27;0.51;10.2;6
3856;5.9;0.2;0.23;1.5;0.037;38.0;93.0;0.99021;3.36;0.49;12.0;6
4862;5.9;0.22;0.3;1.3;0.052;42.0;86.0;0.99069;3.31;0.47;11.55;6
742;7.0;0.2;0.37;2.0;0.03;26.0;136.0;0.9932;3.28;0.61;10.2;6
4007;6.4;0.25;0.57;1.0;0.062;21.0;122.0;0.99238;3.0;0.4;9.5;5
1571;7.4;0.3;0.49;8.2;0.055;49.0;188.0;0.9974;3.52;0.58;9.7;6
4632;6.3;0.3;0.91;8.2;0.034;50.0;199.0;0.99394;3.39;0.49;11.7;6
571;6.5;0.28;0.29;2.7;0.038;26.0;107.0;0.9912;3.32;0.41;11.6;7
1727;7.6;0.445;0.44;14.5;0.045;68.0;212.0;0.9986;3.48;0.36;10.0;6
4255;6.0;0.33;0.26;5.1;0.051;16.0;119.0;0.99416;3.15;0.41;9.2;5
3072;7.5;0.25;0.47;4.1;0.041;95.0;163.0;0.99184;2.92;0.59;11.3;6
4108;6.7;0.28;0.42;3.5;0.035;43.0;105.0;0.99021;3.18;0.38;12.2;6
1359;6.5;0.19;0.32;1.4;0.04;31.0;132.0;0.9922;3.36;0.54;10.8;7
1389;8.1;0.19;0.4;0.9;0.037;73.0;180.0;0.9926;3.06;0.34;10.0;6
1004;5.8;0.36;0.26;3.3;0.038;40.0;153.0;0.9911;3.34;0.55;11.3;6
1709;6.8;0.22;0.3;13.6;0.055;50.0;180.0;0.9984;3.44;0.39;9.8;5
1698;7.0;0.24;0.3;4.2;0.04;41.0;213.0;0.9927;3.28;0.49;11.8;6
4842;6.2;0.28;0.57;1.0;0.043;50.0;92.0;0.99004;3.17;0.36;11.5;6
3481;5.8;0.22;0.3;1.1;0.047;36.0;131.0;0.992;3.26;0.45;10.4;5
3770;7.4;0.27;0.31;2.4;0.014;15.0;143.0;0.99094;3.03;0.65;12.0;4
3195;7.0;0.21;0.42;5.3;0.037;36.0;123.0;0.99321;3.14;0.52;10.9;6
1471;7.8;0.43;0.49;13.0;0.033;37.0;158.0;0.9955;3.14;0.35;11.3;6
3081;6.2;0.25;0.54;7.0;0.046;58.0;176.0;0.99454;3.19;0.7;10.4;5
2313;6.8;0.32;0.3;3.3;0.029;15.0;80.0;0.99061;3.33;0.63;12.6;7
3666;6.8;0.21;0.26;11.7;0.038;61.0;152.0;0.99523;3.02;0.56;10.5;7
2707;6.5;0.23;0.36;16.3;0.038;43.0;133.0;0.99924;3.26;0.41;8.8;5
4754;6.4;0.19;0.35;10.2;0.043;40.0;106.0;0.99632;3.16;0.5;9.7;6
948;6.8;0.705;0.25;3.2;0.048;10.0;57.0;0.996;3.36;0.52;9.5;4
4786;4.4;0.32;0.39;4.3;0.03;31.0;127.0;0.98904;3.46;0.36;12.8;8
1013;6.2;0.25;0.47;11.6;0.048;62.0;210.0;0.9968;3.19;0.5;9.5;5
3905;6.5;0.33;0.3;3.8;0.036;34.0;88.0;0.99028;3.25;0.63;12.5;7
2592;7.3;0.32;0.29;1.5;0.038;32.0;144.0;0.99296;3.2;0.55;10.8;5
3388;8.8;0.39;0.35;1.8;0.096;22.0;80.0;0.99016;2.95;0.54;12.6;6
3942;7.2;0.23;0.39;1.5;0.053;26.0;106.0;0.99166;3.18;0.47;11.1;6
2039;8.7;0.24;0.35;0.6;0.042;11.0;71.0;0.9926;3.08;0.38;10.6;5
2993;6.8;0.18;0.28;9.8;0.039;29.0;113.0;0.99406;3.11;0.45;10.9;7
2146;7.2;0.115;0.3;6.8;0.056;26.0;105.0;0.9954;3.44;0.4;9.6;6
4626;6.3;0.3;0.91;8.2;0.034;50.0;199.0;0.99394;3.39;0.49;11.7;6
4530;7.3;0.28;0.54;12.9;0.049;62.0;162.5;0.9984;3.06;0.45;9.1;6
1431;6.1;0.22;0.49;1.5;0.051;18.0;87.0;0.9928;3.3;0.46;9.6;5
4492;6.0;0.19;0.37;9.7;0.032;17.0;50.0;0.9932;3.08;0.66;12.0;6
4017;5.9;0.23;0.24;1.6;0.037;32.0;115.0;0.99076;3.21;0.51;11.4;6
2224;8.0;0.45;0.28;10.8;0.051;25.0;157.0;0.9957;3.06;0.47;11.4;7
995;7.8;0.27;0.34;1.6;0.046;27.0;154.0;0.9927;3.05;0.45;10.5;6
2406;7.9;0.44;0.26;4.45;0.033;23.0;100.0;0.99117;3.17;0.52;12.7;6
1227;6.9;0.18;0.38;6.5;0.039;20.0;110.0;0.9943;3.1;0.42;10.5;5
2020;7.7;0.26;0.34;6.4;0.05;36.0;163.0;0.9937;3.19;0.7;11.5;6
81;7.1;0.2;0.34;16.0;0.05;51.0;166.0;0.9985;3.21;0.6;9.2;6
16;6.3;0.48;0.04;1.1;0.046;30.0;99.0;0.9928;3.24;0.36;9.6;6
2753;5.8;0.315;0.27;1.55;0.026;15.0;70.0;0.98994;3.37;0.4;11.9;8
1423;9.8;0.25;0.74;10.0;0.056;36.0;225.0;0.9977;3.06;0.43;10.0;4
1932;9.2;0.71;0.23;6.2;0.042;15.0;93.0;0.9948;2.89;0.34;10.1;6
5;8.1;0.28;0.4;6.9;0.05;30.0;97.0;0.9951;3.26;0.44;10.1;6
1867;6.9;0.37;0.28;13.8;0.031;34.0;137.0;0.9948;3.1;0.37;11.6;6
898;6.6;0.26;0.29;1.4;0.039;13.0;67.0;0.9915;3.05;0.49;10.9;6
4581;6.0;0.27;0.26;1.3;0.038;32.0;138.0;0.99125;3.46;0.43;11.1;6
2862;5.1;0.11;0.32;1.6;0.028;12.0;90.0;0.99008;3.57;0.52;12.2;6
3472;6.7;0.16;0.36;2.0;0.045;24.0;131.0;0.99284;3.3;0.59;10.5;6
4707;5.6;0.205;0.16;12.55;0.051;31.0;115.0;0.99564;3.4;0.38;10.8;6
95;7.1;0.26;0.29;12.4;0.044;62.0;240.0;0.9969;3.04;0.42;9.2;6
4660;6.6;0.33;0.41;2.0;0.027;14.0;79.0;0.99063;3.27;0.63;12.4;6
343;5.4;0.31;0.47;3.0;0.053;46.0;144.0;0.9931;3.29;0.76;10.0;5
3854;5.9;0.12;0.27;4.8;0.03;40.0;110.0;0.99226;3.55;0.68;12.1;6
1422;5.3;0.165;0.24;1.1;0.051;25.0;105.0;0.9925;3.32;0.47;9.1;5
3173;6.7;0.33;0.34;7.5;0.036;39.0;124.0;0.99123;2.99;0.32;12.4;8
1461;6.4;0.145;0.49;5.4;0.048;54.0;164.0;0.9946;3.56;0.44;10.8;6
2829;7.1;0.26;0.32;16.2;0.044;31.0;170.0;0.99644;3.17;0.37;11.2;5
85;7.1;0.44;0.62;11.8;0.044;52.0;152.0;0.9975;3.12;0.46;8.7;6
3904;5.0;0.455;0.18;1.9;0.036;33.0;106.0;0.98746;3.21;0.83;14.0;7
2255;7.3;0.21;0.21;1.6;0.046;35.0;133.0;0.99466;3.38;0.46;10.0;6
4572;5.6;0.22;0.32;1.2;0.024;29.0;97.0;0.98823;3.2;0.46;13.05;7
642;6.3;0.21;0.33;13.9;0.046;68.0;179.0;0.9971;3.36;0.5;10.4;6
153;7.2;0.18;0.41;1.2;0.048;41.0;97.0;0.9919;3.14;0.45;10.4;5
1591;6.4;0.12;0.49;6.4;0.042;49.0;161.0;0.9945;3.34;0.44;10.4;6
4071;7.6;0.26;0.32;1.3;0.048;23.0;76.0;0.9903;2.96;0.46;12.0;6
3476;6.2;0.37;0.24;6.1;0.032;19.0;86.0;0.98934;3.04;0.26;13.4;8
4463;6.7;0.32;0.32;1.7;0.031;31.0;114.0;0.98946;3.12;0.35;12.5;6
3907;6.7;0.31;0.3;2.4;0.038;30.0;83.0;0.98867;3.09;0.36;12.8;7
2022;7.6;0.34;0.39;7.6;0.04;45.0;215.0;0.9965;3.11;0.53;9.2;6
564;6.8;0.51;0.3;4.2;0.066;38.0;165.0;0.9945;3.2;0.42;9.1;5
4613;5.8;0.27;0.2;7.3;0.04;42.0;145.0;0.99442;3.15;0.48;9.8;5
900;6.6;0.2;0.38;7.9;0.052;30.0;145.0;0.9947;3.32;0.56;11.0;7
1333;7.8;0.21;0.39;1.8;0.034;62.0;180.0;0.991;3.09;0.75;12.6;8
4738;5.5;0.3;0.25;1.9;0.029;33.0;118.0;0.98972;3.36;0.66;12.5;6
3750;7.0;0.15;0.28;14.7;0.051;29.0;149.0;0.99792;2.96;0.39;9.0;7
4700;6.8;0.3;0.33;12.8;0.041;60.0;168.0;0.99659;3.1;0.56;9.8;5
1531;8.1;0.3;0.49;8.1;0.037;26.0;174.0;0.9943;3.1;0.3;11.2;7
2499;6.9;0.26;0.31;7.0;0.039;37.0;175.0;0.99376;3.32;0.49;11.4;6
1887;7.3;0.24;0.41;13.6;0.05;41.0;178.0;0.9988;3.37;0.43;9.7;5
823;6.7;0.19;0.23;6.2;0.047;36.0;117.0;0.9945;3.34;0.43;9.6;6
4089;6.8;0.27;0.24;4.6;0.098;36.0;127.0;0.99412;3.15;0.49;9.6;6
113;6.7;0.41;0.34;9.2;0.049;29.0;150.0;0.9968;3.22;0.51;9.1;5
243;6.8;0.24;0.34;2.7;0.047;64.5;218.5;0.9934;3.3;0.58;9.7;6
4376;6.1;0.34;0.21;5.0;0.042;17.0;133.0;0.99373;3.02;0.53;9.4;5
1240;7.9;0.14;0.28;1.8;0.041;44.0;178.0;0.9954;3.45;0.43;9.2;6
3838;6.5;0.41;0.22;4.8;0.052;49.0;142.0;0.9946;3.14;0.62;9.2;5
3444;6.7;0.3;0.44;18.75;0.057;65.0;224.0;0.99956;3.11;0.53;9.1;5
675;6.1;0.28;0.25;6.9;0.056;44.0;201.0;0.9955;3.19;0.4;9.1;6
1393;5.7;0.135;0.3;4.6;0.042;19.0;101.0;0.9946;3.31;0.42;9.3;6
1220;6.4;0.23;0.33;1.15;0.044;15.5;217.5;0.992;3.33;0.44;11.0;6
4622;6.5;0.5;0.22;4.1;0.036;35.0;131.0;0.9902;3.26;0.55;13.0;7
2512;5.6;0.175;0.29;0.8;0.043;20.0;67.0;0.99112;3.28;0.48;9.9;6
104;7.4;0.25;0.37;13.5;0.06;52.0;192.0;0.9975;3.0;0.44;9.1;5
442;6.0;0.25;0.28;2.2;0.026;54.0;126.0;0.9898;3.43;0.65;12.9;8
4708;7.2;0.33;0.28;1.4;0.034;26.0;109.0;0.99246;3.28;0.57;10.6;6
2612;6.7;0.3;0.29;2.8;0.025;37.0;107.0;0.99159;3.31;0.63;11.3;7
1911;7.1;0.18;0.26;1.3;0.041;20.0;71.0;0.9926;3.04;0.74;9.9;6
3992;6.7;0.19;0.32;3.7;0.041;26.0;76.0;0.99173;2.9;0.57;10.5;7
690;6.9;0.2;0.34;1.9;0.043;25.0;136.0;0.9935;3.31;0.6;10.1;4
2962;6.9;0.38;0.38;13.1;0.112;14.0;94.0;0.99792;3.02;0.48;9.2;5
1770;7.8;0.39;0.26;9.9;0.059;33.0;181.0;0.9955;3.04;0.42;10.9;6
2143;6.5;0.14;0.32;2.7;0.037;18.0;89.0;0.9924;3.4;0.74;11.5;7
1219;8.2;0.37;0.36;1.0;0.034;17.0;93.0;0.9906;3.04;0.32;11.7;8
4263;7.0;0.55;0.05;8.0;0.036;19.0;164.0;0.99269;3.26;0.46;12.2;6
1120;6.7;0.105;0.32;12.4;0.051;34.0;106.0;0.998;3.54;0.45;9.2;6
35;7.3;0.28;0.43;1.7;0.08;21.0;123.0;0.9905;3.19;0.42;12.8;5
2479;6.6;0.24;0.3;13.0;0.052;18.0;143.0;0.99825;3.37;0.49;9.4;6
1068;8.8;0.33;0.44;6.35;0.024;9.0;87.0;0.9917;2.96;0.4;12.6;7
4332;7.3;0.19;0.27;13.9;0.057;45.0;155.0;0.99807;2.94;0.41;8.8;8
550;7.0;0.3;0.51;13.6;0.05;40.0;168.0;0.9976;3.07;0.52;9.6;7
997;6.1;0.24;0.27;9.8;0.062;33.0;152.0;0.9966;3.31;0.47;9.5;6
645;6.3;0.26;0.25;7.8;0.058;44.0;166.0;0.9961;3.24;0.41;9.0;5
1174;7.2;0.26;0.26;12.7;0.036;49.0;214.0;0.9986;3.41;0.5;10.0;6
4490;5.8;0.3;0.33;3.5;0.033;25.0;116.0;0.99057;3.2;0.44;11.7;6
76;7.1;0.18;0.36;1.4;0.043;31.0;87.0;0.9898;3.26;0.37;12.7;7
3557;8.1;0.2;0.28;0.9;0.023;49.0;87.0;0.99062;2.92;0.36;11.1;6
1590;7.9;0.14;0.74;1.2;0.028;30.0;165.0;0.991;3.08;0.82;12.3;6
592;6.9;0.41;0.33;10.1;0.043;28.0;152.0;0.9968;3.2;0.52;9.4;5
278;6.8;0.32;0.34;1.2;0.044;14.0;67.0;0.9919;3.05;0.47;10.6;4
540;6.7;0.31;0.31;9.9;0.04;10.0;175.0;0.9953;3.46;0.55;11.4;4
2092;5.3;0.76;0.03;2.7;0.043;27.0;93.0;0.9932;3.34;0.38;9.2;5
3311;6.0;0.19;0.29;1.1;0.047;67.0;152.0;0.9916;3.54;0.59;11.1;7
1666;7.8;0.445;0.56;1.0;0.04;8.0;84.0;0.9938;3.25;0.43;10.8;5
1366;7.0;0.14;0.41;0.9;0.037;22.0;95.0;0.9914;3.25;0.43;10.9;6
781;7.8;0.29;0.22;9.5;0.056;44.0;213.0;0.99715;3.08;0.61;9.3;6
3527;7.6;0.23;0.29;8.6;0.053;65.0;146.0;0.9963;3.11;0.32;9.8;6
4846;5.1;0.3;0.3;2.3;0.048;40.0;150.0;0.98944;3.29;0.46;12.2;6
38;7.3;0.24;0.39;17.95;0.057;45.0;149.0;0.9999;3.21;0.36;8.6;5
1949;6.7;0.31;0.44;6.7;0.054;29.0;160.0;0.9952;3.04;0.44;9.6;5
1124;9.6;0.23;0.4;1.5;0.044;19.0;135.0;0.9937;2.96;0.49;10.9;5
4369;6.4;0.29;0.21;9.65;0.041;36.0;119.0;0.99334;2.99;0.34;10.9333333333;6
4728;7.2;0.21;0.31;10.5;0.035;36.0;122.0;0.99478;3.12;0.4;10.6;6
1347;8.2;0.35;0.4;6.3;0.039;35.0;162.0;0.9936;3.15;0.34;11.9;7
206;7.0;0.16;0.32;8.3;0.045;38.0;126.0;0.9958;3.21;0.34;9.2;5
3122;5.6;0.18;0.27;1.7;0.03;31.0;103.0;0.98892;3.35;0.37;12.9;6
2134;6.8;0.26;0.32;7.0;0.041;38.0;118.0;0.9939;3.25;0.52;10.8;6
112;7.2;0.31;0.5;13.3;0.056;68.0;195.0;0.9982;3.01;0.47;9.2;5
3295;6.6;0.28;0.41;7.0;0.046;59.0;194.0;0.99558;3.14;0.48;9.4;5
2703;6.5;0.23;0.36;16.3;0.038;43.0;133.0;0.99924;3.26;0.41;8.8;5
41;6.7;0.24;0.39;2.9;0.173;63.0;157.0;0.9937;3.1;0.34;9.4;6
894;5.8;0.26;0.18;1.2;0.031;40.0;114.0;0.9908;3.42;0.4;11.0;7
4096;8.0;0.25;0.35;1.1;0.054;13.0;136.0;0.99366;3.08;0.55;9.5;5
1493;8.0;0.34;0.49;9.0;0.033;39.0;180.0;0.9936;3.13;0.38;12.3;8
4243;6.8;0.26;0.26;2.0;0.019;23.5;72.0;0.99041;3.16;0.47;11.8;6
1521;6.6;0.3;0.24;1.2;0.034;17.0;121.0;0.9933;3.13;0.36;9.2;5
3352;6.7;0.36;0.28;8.3;0.034;29.0;81.0;0.99151;2.96;0.39;12.5;6
2964;5.8;0.19;0.24;1.3;0.044;38.0;128.0;0.99362;3.77;0.6;10.6;5
2624;6.15;0.21;0.37;3.2;0.021;20.0;80.0;0.99076;3.39;0.47;12.0;5
4414;7.1;0.27;0.27;10.4;0.041;26.0;114.0;0.99335;3.04;0.52;11.5;7
4578;4.8;0.13;0.32;1.2;0.042;40.0;98.0;0.9898;3.42;0.64;11.8;7
840;7.6;0.33;0.35;6.3;0.036;12.0;126.0;0.9924;3.16;0.39;12.0;7
4809;6.0;0.26;0.24;1.3;0.053;66.0;150.0;0.9924;3.21;0.62;10.4;6
2774;7.0;0.36;0.32;10.05;0.045;37.0;131.0;0.99352;3.09;0.33;11.7;8
4081;5.7;0.25;0.26;12.5;0.049;52.5;106.0;0.99691;3.08;0.45;9.4;6
4391;7.3;0.22;0.37;15.5;0.048;70.0;203.0;0.99899;3.25;0.77;9.4;5
3910;7.1;0.37;0.3;6.2;0.04;49.0;139.0;0.99021;3.17;0.27;13.6;6
1580;9.8;0.31;0.49;15.4;0.046;13.0;119.0;1.0004;3.18;0.45;9.5;5
1748;8.0;0.27;0.24;1.2;0.044;20.0;102.0;0.9929;3.28;0.42;10.9;5
1757;6.9;0.29;0.23;8.6;0.056;56.0;215.0;0.9967;3.17;0.44;8.8;5
890;5.0;0.31;0.0;6.4;0.046;43.0;166.0;0.994;3.3;0.63;9.9;6
3264;5.9;0.24;0.12;1.4;0.035;60.0;247.0;0.99358;3.34;0.44;9.6;6
4800;6.0;0.2;0.33;1.1;0.039;45.0;126.0;0.99051;3.31;0.45;11.6;7
3593;5.6;0.28;0.28;4.2;0.044;52.0;158.0;0.992;3.35;0.44;10.7;7
1655;7.8;0.28;0.49;1.3;0.046;27.0;142.0;0.9936;3.09;0.59;10.2;5
65;6.2;0.35;0.03;1.2;0.064;29.0;120.0;0.9934;3.22;0.54;9.1;5
2382;6.9;0.15;0.28;4.4;0.029;14.0;107.0;0.99347;3.24;0.46;10.4;8
4323;8.4;0.27;0.3;2.2;0.037;36.0;129.0;0.99085;2.89;0.3;11.4666666667;6
2904;6.4;0.25;0.32;0.9;0.034;40.0;114.0;0.99114;3.31;0.58;10.8;7
2687;6.6;0.24;0.38;8.0;0.042;56.0;187.0;0.99577;3.21;0.46;9.2;5
4173;7.1;0.34;0.86;1.4;0.174;36.0;99.0;0.99288;2.92;0.5;9.3;5
4230;6.0;0.22;0.23;5.0;0.045;10.0;122.0;0.99261;2.94;0.63;10.0;6
924;7.9;0.28;0.41;2.0;0.044;50.0;152.0;0.9934;3.45;0.49;10.7;8
3873;7.6;0.37;0.51;11.7;0.094;58.0;181.0;0.99776;2.91;0.51;9.0;5
2698;6.9;0.31;0.32;1.2;0.024;20.0;166.0;0.99208;3.05;0.54;9.8;6
532;7.4;0.25;0.36;13.2;0.067;53.0;178.0;0.9976;3.01;0.48;9.0;6
4218;8.0;0.33;0.32;4.6;0.041;31.0;180.0;0.99184;2.92;0.74;12.2;6
3465;6.8;0.19;0.34;1.9;0.04;41.0;108.0;0.99;3.25;0.45;12.9;6
2113;5.7;0.33;0.15;1.9;0.05;20.0;93.0;0.9934;3.38;0.62;9.9;5
2706;7.5;0.28;0.39;10.2;0.045;59.0;209.0;0.9972;3.16;0.63;9.6;6
2384;6.9;0.15;0.28;4.4;0.029;14.0;107.0;0.99347;3.24;0.46;10.4;8
2138;5.5;0.24;0.32;8.7;0.06;19.0;102.0;0.994;3.27;0.31;10.4;5
4083;6.2;0.3;0.32;1.2;0.052;32.0;185.0;0.99266;3.28;0.44;10.1;5
4303;6.9;0.26;0.29;4.2;0.043;33.0;114.0;0.9902;3.16;0.31;12.5;6
2956;8.1;0.12;0.38;0.9;0.034;36.0;86.0;0.99026;2.8;0.55;12.0;6
4044;7.4;0.16;0.27;15.5;0.05;25.0;135.0;0.9984;2.9;0.43;8.7;7
4118;6.5;0.43;0.31;3.6;0.046;19.0;143.0;0.99022;3.15;0.34;12.0;8
4792;4.7;0.785;0.0;3.4;0.036;23.0;134.0;0.98981;3.53;0.92;13.8;6
2628;7.0;0.24;0.24;9.0;0.03;42.0;219.0;0.99636;3.47;0.46;10.2;6
378;5.7;0.32;0.5;2.6;0.049;17.0;155.0;0.9927;3.22;0.64;10.0;6
4597;6.7;0.66;0.0;13.0;0.033;32.0;75.0;0.99551;3.15;0.5;10.7;6
2718;5.2;0.28;0.29;1.1;0.028;18.0;69.0;0.99168;3.24;0.54;10.0;6
4065;6.6;0.5;0.26;11.3;0.029;32.0;110.0;0.99302;3.27;0.78;12.9;8
18;7.4;0.34;0.42;1.1;0.033;17.0;171.0;0.9917;3.12;0.53;11.3;6
87;6.8;0.25;0.31;13.3;0.05;69.0;202.0;0.9972;3.22;0.48;9.7;6
4486;6.4;0.15;0.25;7.8;0.05;13.0;68.0;0.99394;3.16;0.4;9.9;6
1849;7.0;0.24;0.25;1.7;0.042;48.0;189.0;0.992;3.25;0.42;11.4;6
4733;5.2;0.185;0.22;1.0;0.03;47.0;123.0;0.99218;3.55;0.44;10.15;6
4409;6.3;0.29;0.29;3.3;0.037;32.0;140.0;0.9895;3.17;0.36;12.8;7
109;6.9;0.33;0.28;1.3;0.051;37.0;187.0;0.9927;3.27;0.6;10.3;5
3699;7.6;0.3;0.37;1.6;0.087;27.0;177.0;0.99438;3.09;0.5;9.8;5
1819;6.8;0.33;0.28;1.2;0.032;38.0;131.0;0.9889;3.19;0.41;13.0;6
2328;6.9;0.35;0.55;11.95;0.038;22.0;111.0;0.99687;3.11;0.29;9.7;5
4877;5.9;0.54;0.0;0.8;0.032;12.0;82.0;0.99286;3.25;0.36;8.8;5
4382;7.0;0.24;0.26;1.7;0.041;31.0;110.0;0.99142;3.2;0.53;11.0;6
